---,QuestID,QuestType,QuestName,BeforeDetail,ProgressDetail,CompleteDetail,FindKeywardTarget,TargetName,TargetCount,ItemReward,Gold,XPReward,Prereques,Compoleted?,NextQuestRecomend,Repeating,RepeatingNums,StartEvent,FinishEvent,NavigationTarget
M_2_1,"M_2_0","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""170220104B0523EBA39CF49788058168"", ""Heir to the Storykeeper"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""48AE0BD84E677FE51768D08407892CA8"", ""Librarian Sean asks if you opened the book.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""2E5169354386C5464648A1BB8B0763D4"", ""He explains that your grandfather was a Storykeeper,""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""72903E8E4DF955F8F9C18D9439AB5CA9"", ""and recently went missing after claiming to have found the “First Story.”""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""4A95162E432A86D7CE0E9A8E5FEF9CD4"", ""Sean asks if you’d be willing to become the next Storykeeper in place of your grandfather.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""816EC68349BC7FE7A10475AFACA641D8"", ""If you accept, he sends you to Dan, another librarian who has a strange story at hand.""))","","","Sean","()","","()","0","10.000000","(""M_2_0"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_2/M_2_1_Complete_BP.M_2_1_Complete_BP_C","None"
M_2_2,"M_2_2","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""260FBA984B1EAC810B4A71B3FFEF302E"", ""A Test of Story"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""B00C4B0E4AF21FDBB25C20A733CF0914"", ""Librarian Dan gives you a book to test your potential.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""364DA4AC45A1683D552BF8813E412184"", ""If you can bring the story to a proper end,""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C0A27F72456E7138ABF8EC8D8E9E56C7"", ""you may be recognized as a true Storykeeper.""))","","","Sean","()","","()","0","10.000000","(""M_2_1"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/MainQuest/M_2/M_2_2_Complete_BP.M_2_2_Complete_BP_C","None"
M_2_3,"M_2_3","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7E3AF19C430AF4FA49FB669041F276C8"", ""Opening the Story"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A58B2DF04F7F76657A5FE0945503F8C1"", ""Use the book Dan gave you.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""BD66B6E7438DD15A8C50F39C3A8AFA19"", ""What kind of story it leads to… no one knows.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""57BE05D74CF5C14BB7171DAD837C300A"", ""(This marks the end of the current demo build.)""))","","","Read  A Storybook","()","","()","0","10.000000","(""M_2_2"")","False","","False","0","None","None","None"
SK_0_0,"SK_0_0","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""40EAC2D94A2530DA4866359D8A7EED78"", ""Achieve Blacksmith Level 3"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""ED778F2446B6E177A0B479AC8ED13492"", ""You\'ve reached level 3 in the Blacksmith skill. ""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6373631846A643AF67AD8C862B4C6763"", ""Fergus says he’s ready to teach you a new hammering technique. Go and find him.""))","","","None","()","","()","0","0.000000","","False","","False","0","None","None","None"
SK_0_1,"SK_0_1","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""14DD806A4FECC62632152A99986B0F82"", ""News from Fergus"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6EFC83F94FB201390362C9A0A67D47F3"", ""After reaching Blacksmith level 3, go visit Fergus.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C82576EE46DA16FF6EE85780FF5AF8DE"", ""He says he has a new technique to teach you.""))","","","Fergus","()","","()","0","0.000000","(""SK_0_0"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_0_Enforcement/SK_0_1/SK_0_1_Complete_BP.SK_0_1_Complete_BP_C","None"
SK_0_2,"SK_0_2","Collect","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""ED4988694E8D79828BFE4A890D1FAFB4"", ""Hammer Upgrade"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A143F0544C96647B4A1F7BA2F8A87136"", ""Fergus tells you that before you can learn the technique, you need to upgrade your hammer.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""537EE3FC42ACF728EE6DC98CF478C4C0"", ""He asks you to bring him 10 iron ingots.""))","","","None","((""Material_Ingot_Iron"", 10))","(0)","()","0","0.000000","(""SK_0_1"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_0_Enforcement/SK_0_2/SK_0_2_Complete_BP.SK_0_2_Complete_BP_C","None"
SK_0_3,"SK_0_3","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""ED4988694E8D79828BFE4A890D1FAFB4"", ""Hammer Upgrade"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""CF57FD2D4032AB8307EF3C9026BB97D5"", "" Use the hammer or talk to Fergus with the keyword “upgrade”,""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""F53671544CC016BDD3EEE5BE907593F5"", ""Then enhance any piece of equipment to at least +5""))","","","Talk to Fergus using the keyword “About the Quest.”","()","","()","0","0.000000","","False","","False","0","None","None","None"
SK_1_0,"SK_1_0","Collect","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""2606EF2B40EA7426A4C0A09ED55AC66D"", ""Fishing Class"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""8FD08768447F5DA9CFD09FB7748A6BC7"", ""To learn the fishing skill from Erika, catch 5 StoneSeaBass.""))","","","None","((""Fish_StoneSeaBass"", 5))","(0)","()","1000","500.000000","","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_1_Fishing/SK_1_0/SK_1_0_Start_BP.SK_1_0_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_1_Fishing/SK_1_0/SK_1_0_Complete_BP.SK_1_0_Complete_BP_C","None"
SK_1_1,"SK_1_1","Collect","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""319EEE55480806BFFAFB919EA538B929"", ""Fisher of the Seasons"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""468B3094427C4723B86D4C96ADA343E4"", ""To master the fishing skill, collect one fish from each season.""))","","","None","((""Fish_SpringlightTrout"", 1),(""Fish_SummerCod"", 1),(""Fish_AutumnCatfish"", 1),(""Fish_IcefinTrout"", 1))","(0,0,0,0)","()","5000","3000.000000","(""SK_1_0"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_1_Fishing/SK_1_1/SK_1_1_Start_BP.SK_1_1_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_1_Fishing/SK_1_1/SK_1_1_Complete_BP.SK_1_1_Complete_BP_C","None"
SK_2_0,"SK_2_0","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A09FF4D04B90082B0D12DF976AA837FC"", ""Outside Joivillage Is Dangerous"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""8E9BEA6E4C51E298E45CC095809FA107"", ""Joivillage is safe, but the wild beyond isn’t.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7F6993544595B5CFE491359DAE53D00B"", ""Hunt 5 rabbits using a sword.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""2699A0724B4592DE9FCCC7BA4B51BC67"", ""They\'re easy to find, but run away quickly after being hit.""))","","","None","((""Animal_Rabbit"", 5))","(0)","()","100","500.000000","","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_0/SK_2_0_Start_BP.SK_2_0_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_0/SK_2_0_Complete_BP.SK_2_0_Complete_BP_C","None"
SK_2_1,"SK_2_1","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""597E32D14B3CE06FC5C117B32AA1E93D"", ""Way of the Bow"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""99C4836F40EFE3C1A09E59BAB52BD512"", ""Hunt 5 deer using a bow.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""74CCEFC54A96EEC72A1B94B12FDA2032"", ""Once hit, nearby deer will charge together""))","","","it's crucial to take them out from a distance before drawing attention.","((""Animal_Deer"", 5))","(0)","()","100","500.000000","(""SK_2_0"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_1/SK_2_1_Start_BP.SK_2_1_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_1/SK_2_1_Complete_BP.SK_2_1_Complete_BP_C","None"
SK_2_2,"SK_2_2","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""6B1196EE44312477B89DAC958B2AACDE"", ""If You’re Interested in Guns"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""3590319644BC11E72943F4934D408FDE"", ""Kelly suggests that if you\'re interested in firearms, go speak with the hunter Jade.""))","","","Jade","()","","()","0","100.000000","(""SK_2_1"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_2/SK_2_2_Complete_BP.SK_2_2_Complete_BP_C","None"
SK_2_3,"SK_2_3","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""4C4D1BCC493A8116BBE43490F8915688"", ""You’ll Need Authorization"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""EC90E4CE4D8205B3D4049AB333347843"", ""You’ll need a firearm license before you can use one. ""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""5C71C650468319FA3D8BEA8234242866"", ""Go speak with Kai at the police station.""))","","","Kai","()","","()","100","500.000000","(""SK_2_2"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_3/SK_2_3_Complete_BP.SK_2_3_Complete_BP_C","None"
SK_2_4,"SK_2_4","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D94BC4D34DCCA37C7B7F1B8D42D547E3"", ""Firearm Authorization Test"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""C0E2F2944B67D07A9F95208B5A919029"", ""Kai wants to see your skills before approving the license. ""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""2725559D45783632796DAF88272D9E51"", ""Now, hunt 5 rats deep in the mine.""))","","","None","((""Animal_Wolf"", 5))","(0)","()","100","500.000000","(""SK_2_3"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_4/SK_2_4_Complete_BP.SK_2_4_Complete_BP_C","None"
SK_2_5,"SK_2_5","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""23FD8732406A1C3009F9299297FF19ED"", ""Show the License"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""A80B6B7447D97D2025CBE282151781AC"", ""After the wolf hunt, show the firearm license to Jade.""))","","","Jade","()","","()","100","500.000000","(""SK_2_4"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_5/SK_2_5_Complete_BP.SK_2_5_Complete_BP_C","None"
SK_2_6,"SK_2_6","Kill","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""5602A8CD4CF2FAB75084E393C8080AD6"", ""The Real Hunter’s Trial"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""AC4716FE4CA91BF5B3562B9E62A143C4"", ""Jade congratulates you and gives you a basic firearm. ""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""44CA344A49F6BE7824E84BB1CE680D2C"", ""Hunt 5 wolves in the deep forest.""))","","","None","((""Animal_Rat"", 5))","(0)","()","100","500.000000","(""SK_2_5"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_6/SK_2_6_Start_BP.SK_2_6_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_2_Fighting/SK_2_6/SK_2_6_Complete_BP.SK_2_6_Complete_BP_C","None"
SK_3_0,"SK_3_0","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7A18759647F575A30F98A78AD8C2F468"", ""The Start of Combat Training"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""67EDED2E4F05DBE419F068A8A20FCCD3"", ""Officer Vincent and Aria of the Joivillage police station offer special training for those seeking to enhance their combat skills.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""1B87DB084E5FE596C87421AE9B7B49A5"", ""Go speak with Vincent first.""))","","","Vincent","()","","()","0","100.000000","(""SK_2_6"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_3_Fighting2/SK_3_0/SK_3_0_Start_BP.SK_3_0_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_3_Fighting2/SK_3_0/SK_3_0_Complete_BP.SK_3_0_Complete_BP_C","None"
SK_3_1,"SK_3_1","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7A18759647F575A30F98A78AD8C2F468"", ""The Start of Combat Training"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7BB4DE84447095BA0EE1B4B6317B452D"", ""Sometimes you’ll find yourself surrounded by multiple enemies.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D04684AE4F1F29F0E65F0CAD3EB4C4B4"", ""That’s when Windmill becomes useful.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DEAF4E82448A83A8CE3293A5971D7126"", ""Talk to Vincent using the keyword “About the Skill” to be transported to the training room.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E54476BB48F11BC69D0F4E8A85EB34A4"", ""There, practice hitting 3 or more scarecrows at once.""))","","","Vincent","()","","()","0","100.000000","(""SK_3_0"")","False","","False","0","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_3_Fighting2/SK_3_1/SK_3_1_Start_BP.SK_3_1_Start_BP_C","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_3_Fighting2/SK_3_1/SK_3_1_Complete_BP.SK_3_1_Complete_BP_C","None"
SK_3_2,"SK_3_2","Talking","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""223351A543587259EF8023B55FB27B46"", ""Meeting Aria"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7BB4DE84447095BA0EE1B4B6317B452D"", ""Sometimes you’ll find yourself surrounded by multiple enemies.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D04684AE4F1F29F0E65F0CAD3EB4C4B4"", ""That’s when Windmill becomes useful.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DEAF4E82448A83A8CE3293A5971D7126"", ""Talk to Vincent using the keyword “About the Skill” to be transported to the training room.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E54476BB48F11BC69D0F4E8A85EB34A4"", ""There, practice hitting 3 or more scarecrows at once.""))","","","Aria","()","","()","0","100.000000","(""SK_3_1"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_3_Fighting2/SK_3_2/SK_3_2_Complete_BP.SK_3_2_Complete_BP_C","None"
SK_3_3,"SK_3_3","Explore","NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""563D1D5B4DA1E26E8111AFA4EF6A8EC5"", ""The Start of dodge Training"")","(NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""7BB4DE84447095BA0EE1B4B6317B452D"", ""Sometimes you’ll find yourself surrounded by multiple enemies.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""D04684AE4F1F29F0E65F0CAD3EB4C4B4"", ""That’s when Windmill becomes useful.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""DEAF4E82448A83A8CE3293A5971D7126"", ""Talk to Vincent using the keyword “About the Skill” to be transported to the training room.""),NSLOCTEXT(""[BF666F4AC71A560A9578684015AB52F4]"", ""E54476BB48F11BC69D0F4E8A85EB34A4"", ""There, practice hitting 3 or more scarecrows at once.""))","","","Aria","()","","()","0","100.000000","(""SK_3_2"")","False","","False","0","None","/Game/Main/Quest/AutoQuestChecker/QuestEventBP/SubQuest/SkillQuest/SK_3_Fighting2/SK_3_3/SK_3_3_Complete_BP.SK_3_3_Complete_BP_C","None"
